,FIPS,STNAME,CTYNAME,YEAR,POPULATION
129,01015,Alabama,Calhoun County,POPESTIMATE2009,118363.0
130,01015,Alabama,Calhoun County,POPESTIMATE2011,117797.0
131,01015,Alabama,Calhoun County,POPESTIMATE2012,117257.0
132,01015,Alabama,Calhoun County,POPESTIMATE2013,116541.0
133,01015,Alabama,Calhoun County,POPESTIMATE2014,115995.0
134,01015,Alabama,Calhoun County,POPESTIMATE2015,115536.0
135,01017,Alabama,Chambers County,CENSUS2010,34215.0
136,01017,Alabama,Chambers County,ESTIMATESBASE2000,36600.0
137,01017,Alabama,Chambers County,ESTIMATESBASE2010,34171.0
138,01017,Alabama,Chambers County,POPESTIMATE2003,35680.0
139,01017,Alabama,Chambers County,POPESTIMATE2004,35463.0
140,01017,Alabama,Chambers County,POPESTIMATE2005,35279.0
141,01017,Alabama,Chambers County,POPESTIMATE2006,34945.0
142,01017,Alabama,Chambers County,POPESTIMATE2007,34847.0
143,01017,Alabama,Chambers County,POPESTIMATE2008,34563.0
144,01017,Alabama,Chambers County,POPESTIMATE2009,34384.0
145,01017,Alabama,Chambers County,POPESTIMATE2011,34030.0
146,01017,Alabama,Chambers County,POPESTIMATE2012,34104.0
147,01017,Alabama,Chambers County,POPESTIMATE2013,34143.0
148,01017,Alabama,Chambers County,POPESTIMATE2014,33980.0
149,01017,Alabama,Chambers County,POPESTIMATE2015,34007.0
150,01019,Alabama,Cherokee County,CENSUS2010,25989.0
151,01019,Alabama,Cherokee County,ESTIMATESBASE2000,23909.0
152,01019,Alabama,Cherokee County,ESTIMATESBASE2010,25989.0
153,01019,Alabama,Cherokee County,POPESTIMATE2003,24591.0
154,01019,Alabama,Cherokee County,POPESTIMATE2004,24887.0
155,01019,Alabama,Cherokee County,POPESTIMATE2005,25031.0
156,01019,Alabama,Cherokee County,POPESTIMATE2006,25466.0
157,01019,Alabama,Cherokee County,POPESTIMATE2007,25553.0
158,01019,Alabama,Cherokee County,POPESTIMATE2008,25636.0
159,01019,Alabama,Cherokee County,POPESTIMATE2009,25854.0
160,01019,Alabama,Cherokee County,POPESTIMATE2011,25994.0
161,01019,Alabama,Cherokee County,POPESTIMATE2012,25963.0
162,01019,Alabama,Cherokee County,POPESTIMATE2013,26025.0
163,01019,Alabama,Cherokee County,POPESTIMATE2014,25902.0
164,01019,Alabama,Cherokee County,POPESTIMATE2015,25739.0
165,01021,Alabama,Chilton County,CENSUS2010,43643.0
166,01021,Alabama,Chilton County,ESTIMATESBASE2000,39604.0
167,01021,Alabama,Chilton County,ESTIMATESBASE2010,43630.0
168,01021,Alabama,Chilton County,POPESTIMATE2003,41079.0
169,01021,Alabama,Chilton County,POPESTIMATE2004,41534.0
170,01021,Alabama,Chilton County,POPESTIMATE2005,41946.0
171,01021,Alabama,Chilton County,POPESTIMATE2006,42318.0
172,01021,Alabama,Chilton County,POPESTIMATE2007,42881.0
173,01021,Alabama,Chilton County,POPESTIMATE2008,43239.0
174,01021,Alabama,Chilton County,POPESTIMATE2009,43484.0
175,01021,Alabama,Chilton County,POPESTIMATE2011,43687.0
176,01021,Alabama,Chilton County,POPESTIMATE2012,43582.0
177,01021,Alabama,Chilton County,POPESTIMATE2013,43634.0
178,01021,Alabama,Chilton County,POPESTIMATE2014,43769.0
179,01021,Alabama,Chilton County,POPESTIMATE2015,43717.0
180,01023,Alabama,Choctaw County,CENSUS2010,13859.0
181,01023,Alabama,Choctaw County,ESTIMATESBASE2000,15953.0
182,01023,Alabama,Choctaw County,ESTIMATESBASE2010,13858.0
183,01023,Alabama,Choctaw County,POPESTIMATE2003,15199.0
184,01023,Alabama,Choctaw County,POPESTIMATE2004,14930.0
185,01023,Alabama,Choctaw County,POPESTIMATE2005,14545.0
186,01023,Alabama,Choctaw County,POPESTIMATE2006,14431.0
187,01023,Alabama,Choctaw County,POPESTIMATE2007,14216.0
188,01023,Alabama,Choctaw County,POPESTIMATE2008,14114.0
189,01023,Alabama,Choctaw County,POPESTIMATE2009,13976.0
190,01023,Alabama,Choctaw County,POPESTIMATE2011,13607.0
191,01023,Alabama,Choctaw County,POPESTIMATE2012,13561.0
192,01023,Alabama,Choctaw County,POPESTIMATE2013,13396.0
193,01023,Alabama,Choctaw County,POPESTIMATE2014,13317.0
194,01023,Alabama,Choctaw County,POPESTIMATE2015,13233.0
195,01025,Alabama,Clarke County,CENSUS2010,25833.0
196,01025,Alabama,Clarke County,ESTIMATESBASE2000,27870.0
197,01025,Alabama,Clarke County,ESTIMATESBASE2010,25833.0
198,01025,Alabama,Clarke County,POPESTIMATE2003,27090.0
199,01025,Alabama,Clarke County,POPESTIMATE2004,26958.0
200,01025,Alabama,Clarke County,POPESTIMATE2005,26764.0
201,01025,Alabama,Clarke County,POPESTIMATE2006,26755.0
202,01025,Alabama,Clarke County,POPESTIMATE2007,26436.0
203,01025,Alabama,Clarke County,POPESTIMATE2008,26283.0
204,01025,Alabama,Clarke County,POPESTIMATE2009,26038.0
205,01025,Alabama,Clarke County,POPESTIMATE2011,25582.0
206,01025,Alabama,Clarke County,POPESTIMATE2012,25154.0
207,01025,Alabama,Clarke County,POPESTIMATE2013,25122.0
208,01025,Alabama,Clarke County,POPESTIMATE2014,24865.0
209,01025,Alabama,Clarke County,POPESTIMATE2015,24703.0
210,01027,Alabama,Clay County,CENSUS2010,13932.0
211,01027,Alabama,Clay County,ESTIMATESBASE2000,14240.0
212,01027,Alabama,Clay County,ESTIMATESBASE2010,13930.0
213,01027,Alabama,Clay County,POPESTIMATE2003,14203.0
214,01027,Alabama,Clay County,POPESTIMATE2004,14121.0
215,01027,Alabama,Clay County,POPESTIMATE2005,14077.0
216,01027,Alabama,Clay County,POPESTIMATE2006,14053.0
217,01027,Alabama,Clay County,POPESTIMATE2007,14085.0
218,01027,Alabama,Clay County,POPESTIMATE2008,14161.0
219,01027,Alabama,Clay County,POPESTIMATE2009,14006.0
220,01027,Alabama,Clay County,POPESTIMATE2011,13686.0
221,01027,Alabama,Clay County,POPESTIMATE2012,13432.0
222,01027,Alabama,Clay County,POPESTIMATE2013,13404.0
223,01027,Alabama,Clay County,POPESTIMATE2014,13440.0
224,01027,Alabama,Clay County,POPESTIMATE2015,13413.0
225,01029,Alabama,Cleburne County,CENSUS2010,14972.0
226,01029,Alabama,Cleburne County,ESTIMATESBASE2000,14141.0
227,01029,Alabama,Cleburne County,ESTIMATESBASE2010,14972.0
228,01029,Alabama,Cleburne County,POPESTIMATE2003,14438.0
229,01029,Alabama,Cleburne County,POPESTIMATE2004,14339.0
230,01029,Alabama,Cleburne County,POPESTIMATE2005,14368.0
231,01029,Alabama,Cleburne County,POPESTIMATE2006,14538.0
232,01029,Alabama,Cleburne County,POPESTIMATE2007,14799.0
233,01029,Alabama,Cleburne County,POPESTIMATE2008,14874.0
234,01029,Alabama,Cleburne County,POPESTIMATE2009,14918.0
235,01029,Alabama,Cleburne County,POPESTIMATE2011,14928.0
236,01029,Alabama,Cleburne County,POPESTIMATE2012,14889.0
237,01029,Alabama,Cleburne County,POPESTIMATE2013,14976.0
238,01029,Alabama,Cleburne County,POPESTIMATE2014,15025.0
239,01029,Alabama,Cleburne County,POPESTIMATE2015,14917.0
