,STATE,COUNTY,YEAR,MME_Str
476,SC,CHESTER,2008,5375.2549040000495
477,SC,CHESTER,2009,6718.5727052250795
478,SC,CHESTER,2010,9241.040407725144
479,SC,CHESTER,2011,9584.30065931264
480,SC,CHESTER,2012,11228.664288862567
481,SC,CHESTERFIELD,2006,14244.126809037656
482,SC,CHESTERFIELD,2007,17213.987742450194
483,SC,CHESTERFIELD,2008,18504.932803725245
484,SC,CHESTERFIELD,2009,20011.93945500014
485,SC,CHESTERFIELD,2010,21323.613705000065
486,SC,CHESTERFIELD,2011,21837.543735000127
487,SC,CHESTERFIELD,2012,23339.88620250002
488,SC,CLARENDON,2006,9230.545117000116
489,SC,CLARENDON,2007,10086.81674300021
490,SC,CLARENDON,2008,14366.177712862853
491,SC,CLARENDON,2009,12147.23124431273
492,SC,CLARENDON,2010,12598.898348175291
493,SC,CLARENDON,2011,12430.664775000321
494,SC,CLARENDON,2012,12880.54134045025
495,SC,COLLETON,2006,8880.476560000072
496,SC,COLLETON,2007,9737.60856700009
497,SC,COLLETON,2008,10546.224841587626
498,SC,COLLETON,2009,12206.942022037612
499,SC,COLLETON,2010,14553.932340450103
500,SC,COLLETON,2011,17302.11375090018
501,SC,COLLETON,2012,19701.09369907522
502,SC,DARLINGTON,2006,31712.9870617254
503,SC,DARLINGTON,2007,37543.22956248833
504,SC,DARLINGTON,2008,39847.38988695097
505,SC,DARLINGTON,2009,43937.908920450915
506,SC,DARLINGTON,2010,50104.28176500096
507,SC,DARLINGTON,2011,57908.02648908879
508,SC,DARLINGTON,2012,66958.46295386365
509,SC,DILLON,2006,11355.094867725084
510,SC,DILLON,2007,12688.710604350095
511,SC,DILLON,2008,12953.123726400103
512,SC,DILLON,2009,14556.043313625065
513,SC,DILLON,2010,16916.427371812617
514,SC,DILLON,2011,18725.757822487663
515,SC,DILLON,2012,19834.525466587806
516,SC,DORCHESTER,2006,28858.63737850112
517,SC,DORCHESTER,2007,35072.83333136396
518,SC,DORCHESTER,2008,39241.87640600135
519,SC,DORCHESTER,2009,47121.05616795117
520,SC,DORCHESTER,2010,51205.21119408863
521,SC,DORCHESTER,2011,56698.32370522639
522,SC,DORCHESTER,2012,66574.13502885177
523,SC,EDGEFIELD,2006,874.5211875000024
524,SC,EDGEFIELD,2007,1012.1211780000011
525,SC,EDGEFIELD,2008,1317.8890965000019
526,SC,EDGEFIELD,2009,1609.6183499999988
527,SC,EDGEFIELD,2010,2145.1854750000025
528,SC,EDGEFIELD,2011,2696.5326000000073
529,SC,EDGEFIELD,2012,2944.5502500000102
530,SC,FAIRFIELD,2006,2828.5350339999973
531,SC,FAIRFIELD,2007,3135.001744500004
532,SC,FAIRFIELD,2008,3587.7211064999983
533,SC,FAIRFIELD,2009,4236.652087500004
534,SC,FAIRFIELD,2010,4455.976087500015
535,SC,FAIRFIELD,2011,4683.5086770375265
536,SC,FAIRFIELD,2012,5235.139935225027
537,SC,FLORENCE,2006,62992.0475888904
538,SC,FLORENCE,2007,65688.84666609079
539,SC,FLORENCE,2008,69254.64814546591
540,SC,FLORENCE,2009,78652.69221067897
541,SC,FLORENCE,2010,83704.59045772978
542,SC,FLORENCE,2011,92937.56151431856
543,SC,FLORENCE,2012,103133.45753726784
544,SC,GEORGETOWN,2006,20454.93121600052
545,SC,GEORGETOWN,2007,24332.129979500693
546,SC,GEORGETOWN,2008,26699.346687363246
